X,Y,osm_id,name,place type,category,text_des
32.8749821,24.9818717,4826178922,سليم حسن,clinic,Health,"تقع سليم حسن في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.8759904,24.9792646,4826179722,نجاح عبد المجيد,clinic,Health,"تقع نجاح عبد المجيد في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.8753124,24.9791944,4826179725,عماد مصطفى حامد,clinic,Health,"تقع عماد مصطفى حامد في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9482577,24.4768284,4826179727,محمد عبدالوهاب,clinic,Health,"تقع محمد عبدالوهاب في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.8754664,24.9748386,4826179823,بلال ابوزيد,clinic,Health,"تقع بلال ابوزيد في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.875596,24.9744804,4826180821,اسماء فوزى,clinic,Health,"تقع اسماء فوزى في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9480618,24.477815,4826180822,محمد كمال,clinic,Health,"تقع محمد كمال في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9515012,24.4760167,4826187221,محمد السلواوى,clinic,Health,"تقع محمد السلواوى في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9473099,24.4769322,4826187821,محمود النجار,clinic,Health,"تقع محمود النجار في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9505045,24.4780936,4826188121,مصطفى أبو الغيط,clinic,Health,"تقع مصطفى أبو الغيط في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9526466,24.4785766,4826189721,طه الفارسى,clinic,Health,"تقع طه الفارسى في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9483395,24.4801042,4826189722,فاطمة يوسف,clinic,Health,"تقع فاطمة يوسف في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9512553,24.4752519,4826190421,أشرف الأمير,clinic,Health,"تقع أشرف الأمير في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9013831,24.0957267,4826190426,محى راغب,clinic,Health,"تقع محى راغب في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.8956241,24.0901002,4826190922,فاطمة فوزى,clinic,Health,"تقع فاطمة فوزى في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.8941386,24.0857654,4826191222,نبيل تاودروس,clinic,Health,"تقع نبيل تاودروس في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9004552,24.0914098,4826191227,قمر احمد محمد,clinic,Health,"تقع قمر احمد محمد في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.8949782,24.0849399,4826192921,ياسر عبدالكريم,clinic,Health,"تقع ياسر عبدالكريم في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.8980926,24.0848245,4826192922,بهاء الهوارى,clinic,Health,"تقع بهاء الهوارى في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.8946794,24.0849879,4826200322,ناهد شلك,clinic,Health,"تقع ناهد شلك في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9092225,24.0840496,4826200323,محمد خليفة,clinic,Health,"تقع محمد خليفة في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9492466,24.4774123,4826200324,نادر الشوربجى,clinic,Health,"تقع نادر الشوربجى في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9481874,24.4777904,4826200325,فاطمة يوسف,clinic,Health,"تقع فاطمة يوسف في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9483554,24.4802912,4826200326,اسامة نيازى,clinic,Health,"تقع اسامة نيازى في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9456833,24.4772308,4826218221,أحمد سويلم,clinic,Health,"تقع أحمد سويلم في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.8764357,24.9791415,4826218222,محمد عطية,clinic,Health,"تقع محمد عطية في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.8810507,24.9826114,4826218223,محمد مهلل,clinic,Health,"تقع محمد مهلل في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9290482,24.4096528,4826218224,محمود رضا,clinic,Health,"تقع محمود رضا في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9297859,24.4120721,4826218225,ياسر خليل,clinic,Health,"تقع ياسر خليل في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9282362,24.409177,4826218226,توفيق عنتر,clinic,Health,"تقع توفيق عنتر في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9520809,24.4775599,4826218321,مصطفى جعفر,clinic,Health,"تقع مصطفى جعفر في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.8769441,24.9851346,4826218322,عبدالسلام السايح,clinic,Health,"تقع عبدالسلام السايح في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9298983,24.4121102,4826218323,رافت فضلى,clinic,Health,"تقع رافت فضلى في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
